year_month,total_expenses,total_amount,avg_amount,unique_users
2021-12,51560,14213316.41,275.6655626454616,845
2022-01,41826,8855472.39,211.72171352747097,846
2022-02,40993,9154054.03,223.3077361988632,847
2022-03,45814,10472809.12,228.59407866590996,851
2022-04,45162,10853175.01,240.31652739028385,852
2022-05,47644,10937209.62,229.5611119973134,857
2022-06,49414,13186505.33,266.85767859311125,862
2022-07,51475,13606734.39,264.33675356969405,873
2022-08,50229,11847892.37,235.87752832029304,879
2022-09,44760,9865909.78,220.41800223413762,880
2022-10,47852,10992353.18,229.71564783081166,888
2022-11,50732,12409900.13,244.61681246550503,895
2022-12,56830,16274163.22,286.36570860461023,901
2023-01,46053,10055610.23,218.34864677654008,904
2023-02,45101,10182331.78,225.76731735438239,902
2023-03,49654,11468445.13,230.96719559350709,902
2023-04,49411,11679015.75,236.36469106069498,903
2023-05,51799,12290594.19,237.2747387015193,904
2023-06,52897,13628903.34,257.64983534037844,908
2023-07,55351,14153169.85,255.6985393217828,911
2023-08,53932,12899124.59,239.1738594897278,913
2023-09,48474,11068494.53,228.33879048562113,917
2023-10,51496,12158634.22,236.10832336492157,920
2023-11,53147,15669169.13,294.8269729241538,914
2023-12,59553,17597034.29,295.4852700955451,924
2024-01,49086,10655788.09,217.0840583873202,938
2024-02,49030,11614342.6,236.88236997756474,941
2024-03,53424,13067268.75,244.59547675202157,942
2024-04,52167,13146836.99,252.0144342208676,940
2024-05,55091,13520207.96,245.41591112885953,943
2024-06,56865,15292755.98,268.9309061813066,943
2024-07,58471,15326001.46,262.1128672333294,944
2024-08,57307,14333930.44,250.12529778212084,948
2024-09,51436,12440473.78,241.8631654872074,950
2024-10,54433,13033009.19,239.43213106020244,956
2024-11,57826,16354785.85,282.82754902638953,961
2024-12,63784,19565016.419999998,306.7386244199172,969
2025-01,52721,12567771.63,238.38264884960455,982
2025-02,50590,12280211.18,242.7398928642024,984
2025-03,57278,15225168.86,265.8118101190684,985
2025-04,55820,13316268.28,238.55729630956645,988
2025-05,58539,15187190.67,259.4371388305232,990
2025-06,60359,16536651.05,273.9715875014497,992
2025-07,62275,16847361.99,270.5317059815335,992
2025-08,61182,16537303.08,270.2968696675493,992
2025-09,54320,12355121.19,227.45068464653903,993
2025-10,57541,14151012.69,245.92921030221927,995
2025-11,60599,17019941.21,280.8617503589168,996
2025-12,66584,20319385.72,305.1691956025471,1000
