membership_id,group_id,user_id,joined_date,left_date,role,share_percentage
MEM_000071,GRP_0015,USR_0978,2016-03-19,,member,0.2
MEM_000072,GRP_0015,USR_0561,2016-03-13,,member,0.2
MEM_000073,GRP_0016,USR_0717,2022-09-10,,admin,0.3333
MEM_000074,GRP_0016,USR_0726,2022-09-27,,member,0.3333
MEM_000075,GRP_0016,USR_0636,2022-09-06,,member,0.3333
MEM_000076,GRP_0017,USR_0520,2018-06-07,,admin,0.3333
MEM_000077,GRP_0017,USR_0653,2018-06-03,,member,0.3333
MEM_000078,GRP_0017,USR_0568,2018-06-13,,member,0.3333
MEM_000079,GRP_0018,USR_0107,2022-02-16,,admin,0.374
MEM_000080,GRP_0018,USR_0899,2022-03-03,,member,0.2597
MEM_000081,GRP_0018,USR_0905,2022-02-21,,member,0.2355
MEM_000082,GRP_0018,USR_0236,2022-02-13,,member,0.3999
MEM_000083,GRP_0018,USR_0943,2022-02-12,,member,0.1879
MEM_000084,GRP_0018,USR_0553,2022-02-07,2023-04-05,member,0.3785
MEM_000085,GRP_0019,USR_0616,2022-09-29,,admin,0.1289
MEM_000086,GRP_0019,USR_0192,2022-09-21,,member,0.0512
MEM_000087,GRP_0019,USR_0918,2022-10-16,,member,0.3332
MEM_000088,GRP_0020,USR_0687,2020-08-10,,admin,0.1905
MEM_000089,GRP_0020,USR_0942,2020-08-19,,member,0.1669
MEM_000090,GRP_0020,USR_0522,2020-08-09,,member,0.0694
MEM_000091,GRP_0020,USR_0029,2020-08-22,,member,0.305
MEM_000092,GRP_0020,USR_0625,2020-08-03,,member,0.1536
MEM_000093,GRP_0021,USR_0303,2016-02-20,,admin,0.3537
MEM_000094,GRP_0021,USR_0526,2016-02-11,,member,0.1224
MEM_000095,GRP_0021,USR_0324,2016-01-29,,member,0.1893
MEM_000096,GRP_0021,USR_0378,2016-02-10,2018-01-03,member,0.1433
MEM_000097,GRP_0021,USR_0460,2016-02-09,,member,0.3585
MEM_000098,GRP_0021,USR_0106,2016-02-10,2016-12-14,member,0.0816
MEM_000099,GRP_0021,USR_0800,2016-02-15,,member,0.3456
MEM_000100,GRP_0021,USR_0848,2016-02-08,,member,0.2404
MEM_000101,GRP_0021,USR_0770,2016-01-24,2018-02-06,member,0.2015
MEM_000102,GRP_0022,USR_0299,2022-12-26,,admin,0.1667
MEM_000103,GRP_0022,USR_0256,2022-12-13,2023-12-27,member,0.1667
MEM_000104,GRP_0022,USR_0520,2022-12-29,,member,0.1667
MEM_000105,GRP_0022,USR_0355,2022-12-04,2023-04-25,member,0.1667
MEM_000106,GRP_0022,USR_0621,2022-12-10,2023-09-06,member,0.1667
MEM_000107,GRP_0022,USR_0008,2022-12-15,,member,0.1667
MEM_000108,GRP_0023,USR_0262,2020-04-28,2022-03-27,admin,0.2132
MEM_000109,GRP_0023,USR_0944,2020-04-25,,member,0.0589
MEM_000110,GRP_0023,USR_0583,2020-05-08,,member,0.1397
MEM_000111,GRP_0023,USR_0588,2020-04-26,,member,0.2677
MEM_000112,GRP_0023,USR_0608,2020-05-20,2025-02-02,member,0.3454
MEM_000113,GRP_0023,USR_0496,2020-05-16,,member,0.077
MEM_000114,GRP_0024,USR_0112,2020-09-30,,admin,0.1667
MEM_000115,GRP_0024,USR_0442,2020-10-19,2021-03-15,member,0.1667
MEM_000116,GRP_0024,USR_0581,2020-09-30,,member,0.1667
MEM_000117,GRP_0024,USR_0603,2020-10-04,,member,0.1667
MEM_000118,GRP_0024,USR_0496,2020-10-25,2021-06-12,member,0.1667
MEM_000119,GRP_0024,USR_0081,2020-10-24,,member,0.1667
MEM_000120,GRP_0025,USR_0091,2016-06-11,2018-11-11,admin,0.1667
MEM_000121,GRP_0025,USR_0902,2016-06-29,,member,0.1667
MEM_000122,GRP_0025,USR_0406,2016-06-27,2018-06-22,member,0.1667
MEM_000123,GRP_0025,USR_0828,2016-06-12,2016-09-11,member,0.1667
MEM_000124,GRP_0025,USR_0363,2016-06-22,2016-12-17,member,0.1667
MEM_000125,GRP_0025,USR_0338,2016-07-02,2019-07-12,member,0.1667
MEM_000126,GRP_0026,USR_0177,2023-12-16,,admin,0.1429
MEM_000127,GRP_0026,USR_0461,2023-12-29,,member,0.1429
MEM_000128,GRP_0026,USR_0684,2023-12-16,2024-01-07,member,0.1429
MEM_000129,GRP_0026,USR_0724,2023-12-15,2024-02-09,member,0.1429
MEM_000130,GRP_0026,USR_0853,2023-12-07,,member,0.1429
MEM_000131,GRP_0026,USR_0693,2023-12-29,,member,0.1429
MEM_000132,GRP_0026,USR_0465,2023-12-27,2024-05-08,member,0.1429
MEM_000133,GRP_0027,USR_0401,2017-10-24,2018-03-03,admin,0.2
MEM_000134,GRP_0027,USR_0746,2017-10-22,,member,0.2
MEM_000135,GRP_0027,USR_0677,2017-11-05,,member,0.2
MEM_000136,GRP_0027,USR_0618,2017-10-10,2022-05-03,member,0.2
MEM_000137,GRP_0027,USR_0063,2017-10-12,,member,0.2
MEM_000138,GRP_0028,USR_0336,2021-12-13,,admin,0.1111
MEM_000139,GRP_0028,USR_0683,2021-12-02,,member,0.1111
MEM_000140,GRP_0028,USR_0580,2021-12-20,,member,0.1111
MEM_000141,GRP_0028,USR_0609,2021-11-30,,member,0.1111
MEM_000142,GRP_0028,USR_0745,2021-11-30,,member,0.1111
MEM_000143,GRP_0028,USR_0256,2021-12-17,,member,0.1111
MEM_000144,GRP_0028,USR_0092,2021-11-27,,member,0.1111
MEM_000145,GRP_0028,USR_0570,2021-12-20,,member,0.1111
MEM_000146,GRP_0028,USR_0822,2021-11-29,,member,0.1111
MEM_000147,GRP_0029,USR_0912,2019-07-19,2020-12-09,admin,0.1074
MEM_000148,GRP_0029,USR_0325,2019-07-26,,member,0.2108
MEM_000149,GRP_0030,USR_0041,2022-03-29,,admin,0.1
MEM_000150,GRP_0030,USR_0328,2022-03-09,2023-01-17,member,0.1
MEM_000151,GRP_0030,USR_0384,2022-03-09,,member,0.1
MEM_000152,GRP_0030,USR_0926,2022-03-28,2024-03-28,member,0.1
MEM_000153,GRP_0030,USR_0477,2022-03-22,2023-09-16,member,0.1
MEM_000154,GRP_0030,USR_0987,2022-03-12,,member,0.1
MEM_000155,GRP_0030,USR_0689,2022-03-13,,member,0.1
MEM_000156,GRP_0030,USR_0076,2022-03-04,,member,0.1
MEM_000157,GRP_0030,USR_0952,2022-03-13,,member,0.1
MEM_000158,GRP_0030,USR_0810,2022-03-19,,member,0.1
MEM_000159,GRP_0031,USR_0712,2019-01-17,,admin,0.1941
MEM_000160,GRP_0031,USR_0547,2019-01-15,,member,0.1119
MEM_000161,GRP_0031,USR_0749,2019-01-15,,member,0.3125
MEM_000162,GRP_0031,USR_0022,2019-01-02,,member,0.3275
MEM_000163,GRP_0031,USR_0599,2018-12-25,,member,0.2142
MEM_000164,GRP_0031,USR_0591,2019-01-13,,member,0.1876
MEM_000165,GRP_0031,USR_0725,2019-01-08,,member,0.3435
MEM_000166,GRP_0031,USR_0219,2019-01-06,,member,0.2726
MEM_000167,GRP_0031,USR_0506,2019-01-06,,member,0.2063
MEM_000168,GRP_0031,USR_0230,2018-12-28,,member,0.1699
MEM_000169,GRP_0032,USR_0199,2021-08-02,,admin,0.3333
MEM_000170,GRP_0032,USR_0749,2021-08-22,2023-01-30,member,0.3333
MEM_000171,GRP_0032,USR_0828,2021-08-06,,member,0.3333
MEM_000172,GRP_0033,USR_0135,2020-09-16,2020-11-25,admin,0.1667
MEM_000173,GRP_0033,USR_0825,2020-08-31,,member,0.1667
MEM_000174,GRP_0033,USR_0840,2020-09-16,,member,0.1667
MEM_000175,GRP_0033,USR_0020,2020-09-16,,member,0.1667
MEM_000176,GRP_0033,USR_0753,2020-09-02,,member,0.1667
MEM_000177,GRP_0033,USR_0260,2020-09-26,,member,0.1667
MEM_000178,GRP_0034,USR_0034,2023-02-21,,admin,0.1919
MEM_000179,GRP_0034,USR_0827,2023-02-18,,member,0.2158
MEM_000180,GRP_0034,USR_0570,2023-03-01,,member,0.2038
MEM_000181,GRP_0034,USR_0231,2023-02-15,,member,0.3307
MEM_000182,GRP_0034,USR_0858,2023-03-03,,member,0.262
MEM_000183,GRP_0034,USR_0260,2023-02-13,2023-12-06,member,0.1286
MEM_000184,GRP_0034,USR_0058,2023-02-28,,member,0.3802
MEM_000185,GRP_0034,USR_0911,2023-02-22,2023-04-14,member,0.165
MEM_000186,GRP_0035,USR_0767,2024-03-30,,admin,0.1613
MEM_000187,GRP_0035,USR_0563,2024-03-15,,member,0.2852
MEM_000188,GRP_0035,USR_0686,2024-04-02,,member,0.0717
MEM_000189,GRP_0035,USR_0876,2024-03-25,,member,0.1565
MEM_000190,GRP_0035,USR_0759,2024-03-31,,member,0.1053
MEM_000191,GRP_0035,USR_0051,2024-03-21,,member,0.2
MEM_000192,GRP_0035,USR_0453,2024-04-05,,member,0.3707
MEM_000193,GRP_0035,USR_0401,2024-03-09,,member,0.381
MEM_000194,GRP_0035,USR_0462,2024-03-17,,member,0.2013
MEM_000195,GRP_0036,USR_0446,2025-10-18,,admin,0.07
MEM_000196,GRP_0036,USR_0647,2025-10-31,,member,0.3292
MEM_000197,GRP_0036,USR_0312,2025-11-05,,member,0.2946
MEM_000198,GRP_0036,USR_0158,2025-10-10,,member,0.2148
MEM_000199,GRP_0036,USR_0539,2025-10-25,,member,0.2622
MEM_000200,GRP_0036,USR_0638,2025-10-15,,member,0.2715
MEM_000201,GRP_0036,USR_0021,2025-10-18,,member,0.118
MEM_000202,GRP_0036,USR_0412,2025-10-22,,member,0.1092
MEM_000203,GRP_0036,USR_0509,2025-10-29,,member,0.1274
MEM_000204,GRP_0037,USR_0311,2023-02-01,,admin,0.5
MEM_000205,GRP_0037,USR_0606,2023-02-09,,member,0.5
MEM_000206,GRP_0038,USR_0120,2021-06-09,,admin,0.1429
MEM_000207,GRP_0038,USR_0944,2021-06-28,2021-09-25,member,0.1429
MEM_000208,GRP_0038,USR_0662,2021-07-05,,member,0.1429
MEM_000209,GRP_0038,USR_0849,2021-06-27,,member,0.1429
MEM_000210,GRP_0038,USR_0220,2021-06-26,,member,0.1429
MEM_000211,GRP_0038,USR_0089,2021-06-06,,member,0.1429
MEM_000212,GRP_0038,USR_0775,2021-06-25,,member,0.1429
MEM_000213,GRP_0039,USR_0243,2019-12-19,,admin,0.2535
MEM_000214,GRP_0039,USR_0742,2019-12-15,2023-01-17,member,0.3996
MEM_000215,GRP_0039,USR_0473,2019-12-02,,member,0.3489
MEM_000216,GRP_0039,USR_0840,2019-12-20,,member,0.1205
MEM_000217,GRP_0039,USR_0665,2019-12-24,,member,0.1176
MEM_000218,GRP_0040,USR_0848,2021-10-12,,admin,0.1425
MEM_000219,GRP_0040,USR_0340,2021-10-30,,member,0.0945
MEM_000220,GRP_0040,USR_0250,2021-10-16,,member,0.1711
MEM_000221,GRP_0040,USR_0431,2021-10-28,,member,0.2458
MEM_000222,GRP_0040,USR_0435,2021-11-05,,member,0.251
MEM_000223,GRP_0040,USR_0827,2021-11-03,,member,0.0926
MEM_000224,GRP_0040,USR_0269,2021-11-02,,member,0.3134
MEM_000225,GRP_0040,USR_0528,2021-10-25,,member,0.2269
MEM_000226,GRP_0040,USR_0540,2021-10-15,,member,0.3603
MEM_000227,GRP_0040,USR_0975,2021-10-11,,member,0.1627
MEM_000228,GRP_0041,USR_0525,2016-04-09,,admin,0.294
MEM_000229,GRP_0041,USR_0299,2016-04-01,,member,0.1558
MEM_000230,GRP_0041,USR_0731,2016-03-24,,member,0.252
MEM_000231,GRP_0042,USR_0669,2016-12-30,,admin,0.3892
MEM_000232,GRP_0042,USR_0054,2017-01-09,,member,0.2028
MEM_000233,GRP_0042,USR_0263,2016-12-19,,member,0.3206
MEM_000234,GRP_0042,USR_0074,2017-01-14,,member,0.0533
MEM_000235,GRP_0043,USR_0516,2020-12-02,,admin,0.2
MEM_000236,GRP_0043,USR_0856,2020-11-27,,member,0.2
MEM_000237,GRP_0043,USR_0875,2020-12-03,,member,0.2
MEM_000238,GRP_0043,USR_0447,2020-11-12,,member,0.2
MEM_000239,GRP_0043,USR_0827,2020-12-01,,member,0.2
MEM_000240,GRP_0044,USR_0528,2022-10-26,,admin,0.1429
MEM_000241,GRP_0044,USR_0539,2022-11-07,,member,0.1429
MEM_000242,GRP_0044,USR_0426,2022-10-31,,member,0.1429
MEM_000243,GRP_0044,USR_0968,2022-10-28,,member,0.1429
MEM_000244,GRP_0044,USR_0617,2022-11-09,,member,0.1429
MEM_000245,GRP_0044,USR_0980,2022-10-18,,member,0.1429
MEM_000246,GRP_0044,USR_0129,2022-10-24,,member,0.1429
MEM_000247,GRP_0045,USR_0939,2019-06-20,,admin,0.07
MEM_000248,GRP_0045,USR_0430,2019-06-08,2020-06-18,member,0.159
MEM_000249,GRP_0045,USR_0708,2019-06-10,,member,0.0979
MEM_000250,GRP_0046,USR_0264,2025-01-31,,admin,0.2
MEM_000251,GRP_0046,USR_0447,2025-01-22,,member,0.2
MEM_000252,GRP_0046,USR_0396,2025-02-14,,member,0.2
MEM_000253,GRP_0046,USR_0713,2025-01-24,,member,0.2
MEM_000254,GRP_0046,USR_0321,2025-01-31,,member,0.2
MEM_000255,GRP_0047,USR_0978,2017-01-04,2017-12-21,admin,0.2135
MEM_000256,GRP_0047,USR_0612,2016-12-10,,member,0.3356
MEM_000257,GRP_0048,USR_0876,2020-11-04,,admin,0.3353
MEM_000258,GRP_0048,USR_0199,2020-10-26,,member,0.2836
MEM_000259,GRP_0048,USR_0973,2020-10-23,,member,0.3832
MEM_000260,GRP_0049,USR_0063,2018-02-24,,admin,0.2
MEM_000261,GRP_0049,USR_0380,2018-02-10,,member,0.2
MEM_000262,GRP_0049,USR_0010,2018-02-16,,member,0.2
MEM_000263,GRP_0049,USR_0090,2018-02-23,,member,0.2
MEM_000264,GRP_0049,USR_0607,2018-03-01,2020-12-02,member,0.2
MEM_000265,GRP_0050,USR_0583,2020-02-03,,admin,0.2
MEM_000266,GRP_0050,USR_0003,2020-02-05,,member,0.2
MEM_000267,GRP_0050,USR_0874,2020-02-16,,member,0.2
MEM_000268,GRP_0050,USR_0051,2020-01-30,,member,0.2
MEM_000269,GRP_0050,USR_0658,2020-02-10,,member,0.2
MEM_000270,GRP_0051,USR_0522,2019-03-25,,admin,0.3333
MEM_000271,GRP_0051,USR_0858,2019-03-06,2020-12-13,member,0.3333
MEM_000272,GRP_0051,USR_0297,2019-03-06,2025-08-01,member,0.3333
MEM_000273,GRP_0052,USR_0351,2020-08-17,,admin,0.2341
MEM_000274,GRP_0052,USR_0946,2020-08-08,2020-12-26,member,0.2711
MEM_000275,GRP_0052,USR_0886,2020-08-27,,member,0.2576
MEM_000276,GRP_0052,USR_0031,2020-08-07,,member,0.1898
MEM_000277,GRP_0053,USR_0913,2024-12-12,,admin,0.25
MEM_000278,GRP_0053,USR_0346,2024-12-06,,member,0.25
MEM_000279,GRP_0053,USR_0227,2024-11-27,,member,0.25
MEM_000280,GRP_0053,USR_0080,2024-12-08,2025-01-11,member,0.25
MEM_000281,GRP_0054,USR_0838,2020-08-28,,admin,0.366
MEM_000282,GRP_0054,USR_0367,2020-09-03,,member,0.3437
MEM_000283,GRP_0054,USR_0125,2020-09-12,,member,0.1139
MEM_000284,GRP_0055,USR_0624,2022-10-16,,admin,0.1429
MEM_000285,GRP_0055,USR_0117,2022-10-28,,member,0.1429
MEM_000286,GRP_0055,USR_0360,2022-10-08,,member,0.1429
MEM_000287,GRP_0055,USR_0083,2022-10-23,,member,0.1429
MEM_000288,GRP_0055,USR_0418,2022-10-04,,member,0.1429
MEM_000289,GRP_0055,USR_0847,2022-10-14,2023-08-11,member,0.1429
MEM_000290,GRP_0055,USR_0567,2022-10-17,2023-12-04,member,0.1429
MEM_000291,GRP_0056,USR_0825,2019-08-19,,admin,0.125
MEM_000292,GRP_0056,USR_0811,2019-08-19,,member,0.125
MEM_000293,GRP_0056,USR_0237,2019-07-24,,member,0.125
MEM_000294,GRP_0056,USR_0098,2019-08-08,,member,0.125
MEM_000295,GRP_0056,USR_0931,2019-08-07,2020-12-25,member,0.125
MEM_000296,GRP_0056,USR_0162,2019-07-25,,member,0.125
MEM_000297,GRP_0056,USR_0260,2019-07-31,2022-06-30,member,0.125
MEM_000298,GRP_0056,USR_0350,2019-08-17,,member,0.125
MEM_000299,GRP_0057,USR_0487,2019-08-25,,admin,0.1667
MEM_000300,GRP_0057,USR_0898,2019-08-30,,member,0.1667
MEM_000301,GRP_0057,USR_0101,2019-08-23,,member,0.1667
MEM_000302,GRP_0057,USR_0339,2019-08-20,,member,0.1667
MEM_000303,GRP_0057,USR_0491,2019-09-01,2020-03-04,member,0.1667
MEM_000304,GRP_0057,USR_0746,2019-08-22,2020-02-09,member,0.1667
MEM_000305,GRP_0058,USR_0836,2017-01-11,,admin,0.2
MEM_000306,GRP_0058,USR_0491,2017-01-13,,member,0.2
MEM_000307,GRP_0058,USR_0359,2016-12-24,,member,0.2
MEM_000308,GRP_0058,USR_0178,2017-01-14,,member,0.2
MEM_000309,GRP_0058,USR_0768,2016-12-25,,member,0.2
MEM_000310,GRP_0059,USR_0445,2020-12-19,,admin,0.275
MEM_000311,GRP_0059,USR_0369,2020-12-15,2022-02-14,member,0.3815
MEM_000312,GRP_0059,USR_0950,2020-12-03,,member,0.1286
MEM_000313,GRP_0059,USR_0940,2020-12-20,2021-02-05,member,0.2097
MEM_000314,GRP_0059,USR_0073,2020-11-28,,member,0.3166
MEM_000315,GRP_0060,USR_0425,2016-09-08,,admin,0.3936
MEM_000316,GRP_0060,USR_0958,2016-09-09,,member,0.0688
MEM_000317,GRP_0060,USR_0962,2016-08-26,,member,0.2502
MEM_000318,GRP_0060,USR_0398,2016-08-31,,member,0.362
MEM_000319,GRP_0060,USR_0567,2016-09-03,,member,0.1142
MEM_000320,GRP_0060,USR_0466,2016-08-24,,member,0.3546
MEM_000321,GRP_0061,USR_0323,2022-09-03,2023-06-26,admin,0.3333
MEM_000322,GRP_0061,USR_0700,2022-08-26,2023-07-26,member,0.3333
MEM_000323,GRP_0061,USR_0738,2022-08-27,,member,0.3333
MEM_000324,GRP_0062,USR_0719,2022-12-23,2023-09-03,admin,0.3333
MEM_000325,GRP_0062,USR_0818,2022-12-26,,member,0.3333
MEM_000326,GRP_0062,USR_0158,2022-12-17,2024-04-01,member,0.3333
MEM_000327,GRP_0063,USR_0154,2021-03-29,,admin,0.1667
MEM_000328,GRP_0063,USR_0201,2021-03-02,2023-03-17,member,0.1667
MEM_000329,GRP_0063,USR_0903,2021-03-21,,member,0.1667
MEM_000330,GRP_0063,USR_0691,2021-03-27,,member,0.1667
MEM_000331,GRP_0063,USR_0482,2021-03-04,,member,0.1667
MEM_000332,GRP_0063,USR_0886,2021-03-23,,member,0.1667
MEM_000333,GRP_0064,USR_0956,2018-04-11,,admin,0.2598
MEM_000334,GRP_0064,USR_0183,2018-04-12,,member,0.2306
MEM_000335,GRP_0064,USR_0811,2018-03-26,,member,0.1978
MEM_000336,GRP_0064,USR_0576,2018-04-05,,member,0.1051
MEM_000337,GRP_0064,USR_0954,2018-04-07,,member,0.2109
MEM_000338,GRP_0065,USR_0559,2021-02-21,,admin,0.2
MEM_000339,GRP_0065,USR_0881,2021-02-25,,member,0.2
MEM_000340,GRP_0065,USR_0787,2021-02-22,2021-03-13,member,0.2
MEM_000341,GRP_0065,USR_0150,2021-03-02,,member,0.2
MEM_000342,GRP_0065,USR_0560,2021-02-19,2021-05-04,member,0.2
MEM_000343,GRP_0066,USR_0645,2025-03-29,,admin,0.125
MEM_000344,GRP_0066,USR_0396,2025-04-13,,member,0.125
MEM_000345,GRP_0066,USR_0355,2025-04-06,,member,0.125
MEM_000346,GRP_0066,USR_0689,2025-03-22,,member,0.125
MEM_000347,GRP_0066,USR_0072,2025-04-18,,member,0.125
MEM_000348,GRP_0066,USR_0412,2025-04-13,,member,0.125
MEM_000349,GRP_0066,USR_0587,2025-03-25,,member,0.125
MEM_000350,GRP_0066,USR_0368,2025-04-01,,member,0.125
MEM_000351,GRP_0067,USR_0306,2021-12-17,,admin,0.25
MEM_000352,GRP_0067,USR_0956,2021-12-16,,member,0.25
MEM_000353,GRP_0067,USR_0074,2021-12-23,,member,0.25
MEM_000354,GRP_0067,USR_0707,2022-01-02,,member,0.25
MEM_000355,GRP_0068,USR_0976,2017-12-03,,admin,0.2763
MEM_000356,GRP_0068,USR_0017,2017-11-22,,member,0.3375
MEM_000357,GRP_0068,USR_0810,2017-11-11,,member,0.0908
MEM_000358,GRP_0068,USR_0399,2017-11-12,,member,0.0525
MEM_000359,GRP_0068,USR_0768,2017-11-10,2019-12-12,member,0.363
MEM_000360,GRP_0068,USR_0974,2017-11-11,2020-01-17,member,0.2555
MEM_000361,GRP_0068,USR_0304,2017-11-09,,member,0.2522
MEM_000362,GRP_0069,USR_0249,2018-05-23,,admin,0.25
MEM_000363,GRP_0069,USR_0719,2018-06-01,,member,0.25
MEM_000364,GRP_0069,USR_0114,2018-05-04,,member,0.25
MEM_000365,GRP_0069,USR_0956,2018-05-13,2019-07-03,member,0.25
MEM_000366,GRP_0070,USR_0954,2020-01-26,2023-09-16,admin,0.2767
MEM_000367,GRP_0070,USR_0412,2020-02-09,2020-06-11,member,0.1477
MEM_000368,GRP_0070,USR_0182,2020-01-22,,member,0.3639
MEM_000369,GRP_0071,USR_0635,2021-05-29,,admin,0.2581
MEM_000370,GRP_0071,USR_0649,2021-06-01,,member,0.3819
MEM_000371,GRP_0071,USR_0435,2021-06-11,,member,0.2313
MEM_000372,GRP_0071,USR_0818,2021-06-07,,member,0.3449
MEM_000373,GRP_0072,USR_0971,2017-02-14,,admin,0.1429
MEM_000374,GRP_0072,USR_0930,2017-03-09,2021-11-12,member,0.1429
MEM_000375,GRP_0072,USR_0338,2017-02-17,,member,0.1429
MEM_000376,GRP_0072,USR_0454,2017-02-27,,member,0.1429
MEM_000377,GRP_0072,USR_0475,2017-02-16,,member,0.1429
MEM_000378,GRP_0072,USR_0950,2017-02-18,2019-08-23,member,0.1429
MEM_000379,GRP_0072,USR_0973,2017-02-18,,member,0.1429
MEM_000380,GRP_0073,USR_0262,2021-10-16,,admin,0.2874
MEM_000381,GRP_0073,USR_0541,2021-10-17,2023-10-01,member,0.0721
MEM_000382,GRP_0074,USR_0326,2020-11-29,,admin,0.2235
MEM_000383,GRP_0074,USR_0535,2020-11-23,,member,0.1656
MEM_000384,GRP_0074,USR_0815,2020-12-12,,member,0.1039
MEM_000385,GRP_0075,USR_0787,2022-08-10,,admin,0.25
MEM_000386,GRP_0075,USR_0977,2022-07-30,,member,0.25
