id,expense_id,user_uid,amount,percentage,created_at,updated_at
split_0000000055,sexp_00000011,user_000000,38.6,16.13,,
split_0000000056,sexp_00000011,user_000001,65.51,27.37,,
split_0000000057,sexp_00000011,user_000002,68.91,28.79,,
split_0000000058,sexp_00000011,user_000004,59.04,24.67,,
split_0000000059,sexp_00000011,user_000005,7.26,3.03,,
split_0000000060,sexp_00000012,user_000000,29.75,29.26,,
split_0000000061,sexp_00000012,user_000001,24.9,24.49,,
split_0000000062,sexp_00000012,user_000002,29.38,28.9,,
split_0000000063,sexp_00000012,user_000004,14.58,14.34,,
split_0000000064,sexp_00000012,user_000005,3.06,3.02,,
split_0000000065,sexp_00000013,user_000000,26.45,20.0,,
split_0000000066,sexp_00000013,user_000001,26.45,20.0,,
split_0000000067,sexp_00000013,user_000002,26.45,20.0,,
split_0000000068,sexp_00000013,user_000004,26.45,20.0,,
split_0000000069,sexp_00000013,user_000005,26.45,20.0,,
split_0000000070,sexp_00000014,user_000000,21.28,15.21,,
split_0000000071,sexp_00000014,user_000001,44.47,31.78,,
split_0000000072,sexp_00000014,user_000002,51.69,36.94,,
split_0000000073,sexp_00000014,user_000004,16.66,11.91,,
split_0000000074,sexp_00000014,user_000005,5.82,4.16,,
split_0000000075,sexp_00000015,user_000000,23.26,20.0,,
split_0000000076,sexp_00000015,user_000001,23.26,20.0,,
split_0000000077,sexp_00000015,user_000002,23.26,20.0,,
split_0000000078,sexp_00000015,user_000004,23.26,20.0,,
split_0000000079,sexp_00000015,user_000005,23.24,20.0,,
split_0000000080,sexp_00000016,user_000000,34.47,20.0,,
split_0000000081,sexp_00000016,user_000001,34.47,20.0,,
split_0000000082,sexp_00000016,user_000002,34.47,20.0,,
split_0000000083,sexp_00000016,user_000004,34.47,20.0,,
split_0000000084,sexp_00000016,user_000005,34.49,20.0,,
split_0000000085,sexp_00000017,user_000000,41.95,20.0,,
split_0000000086,sexp_00000017,user_000001,41.95,20.0,,
split_0000000087,sexp_00000017,user_000002,41.95,20.0,,
split_0000000088,sexp_00000017,user_000004,41.95,20.0,,
split_0000000089,sexp_00000017,user_000005,41.95,20.0,,
split_0000000090,sexp_00000018,user_000000,186.27,19.5,,
split_0000000091,sexp_00000018,user_000001,278.25,29.12,,
split_0000000092,sexp_00000018,user_000002,186.93,19.57,,
split_0000000093,sexp_00000018,user_000004,275.45,28.83,,
split_0000000094,sexp_00000018,user_000005,28.49,2.98,,
split_0000000095,sexp_00000019,user_000000,80.8,32.72,,
split_0000000096,sexp_00000019,user_000001,40.84,16.54,,
split_0000000097,sexp_00000019,user_000002,48.42,19.61,,
split_0000000098,sexp_00000019,user_000004,65.72,26.61,,
split_0000000099,sexp_00000019,user_000005,11.15,4.52,,
split_0000000100,sexp_00000020,user_000000,29.08,20.0,,
split_0000000101,sexp_00000020,user_000001,29.08,20.0,,
split_0000000102,sexp_00000020,user_000002,29.08,20.0,,
split_0000000103,sexp_00000020,user_000004,29.08,20.0,,
split_0000000104,sexp_00000020,user_000005,29.07,20.0,,
split_0000000105,sexp_00000021,user_000000,15.87,20.0,,
split_0000000106,sexp_00000021,user_000001,15.87,20.0,,
split_0000000107,sexp_00000021,user_000002,15.87,20.0,,
split_0000000108,sexp_00000021,user_000004,15.87,20.0,,
split_0000000109,sexp_00000021,user_000005,15.89,20.0,,
split_0000000110,sexp_00000022,user_000000,13.9,20.0,,
split_0000000111,sexp_00000022,user_000001,13.9,20.0,,
split_0000000112,sexp_00000022,user_000002,13.9,20.0,,
split_0000000113,sexp_00000022,user_000004,13.9,20.0,,
split_0000000114,sexp_00000022,user_000005,13.9,20.0,,
split_0000000115,sexp_00000023,user_000000,17.85,20.0,,
split_0000000116,sexp_00000023,user_000001,17.85,20.0,,
split_0000000117,sexp_00000023,user_000002,17.85,20.0,,
split_0000000118,sexp_00000023,user_000004,17.85,20.0,,
split_0000000119,sexp_00000023,user_000005,17.83,20.0,,
split_0000000120,sexp_00000024,user_000000,9.78,20.0,,
split_0000000121,sexp_00000024,user_000001,9.78,20.0,,
split_0000000122,sexp_00000024,user_000002,9.78,20.0,,
split_0000000123,sexp_00000024,user_000004,9.78,20.0,,
split_0000000124,sexp_00000024,user_000005,9.8,20.0,,
split_0000000125,sexp_00000025,user_000000,15.26,20.0,,
split_0000000126,sexp_00000025,user_000001,15.26,20.0,,
split_0000000127,sexp_00000025,user_000002,15.26,20.0,,
split_0000000128,sexp_00000025,user_000004,15.26,20.0,,
split_0000000129,sexp_00000025,user_000005,15.25,20.0,,
split_0000000130,sexp_00000026,user_000000,11.71,21.32,,
split_0000000131,sexp_00000026,user_000001,14.12,25.71,,
split_0000000132,sexp_00000026,user_000002,20.07,36.54,,
split_0000000133,sexp_00000026,user_000004,6.67,12.14,,
split_0000000134,sexp_00000026,user_000005,2.35,4.29,,
split_0000000135,sexp_00000027,user_000000,8.84,20.0,,
split_0000000136,sexp_00000027,user_000001,8.84,20.0,,
split_0000000137,sexp_00000027,user_000002,8.84,20.0,,
split_0000000138,sexp_00000027,user_000004,8.84,20.0,,
split_0000000139,sexp_00000027,user_000005,8.86,20.0,,
split_0000000140,sexp_00000028,user_000000,7.09,12.54,,
split_0000000141,sexp_00000028,user_000001,16.83,29.76,,
split_0000000142,sexp_00000028,user_000002,19.78,34.98,,
split_0000000143,sexp_00000028,user_000004,10.17,17.98,,
split_0000000144,sexp_00000028,user_000005,2.69,4.74,,
split_0000000145,sexp_00000029,user_000000,15.99,20.0,,
split_0000000146,sexp_00000029,user_000001,15.99,20.0,,
split_0000000147,sexp_00000029,user_000002,15.99,20.0,,
split_0000000148,sexp_00000029,user_000004,15.99,20.0,,
split_0000000149,sexp_00000029,user_000005,16.01,20.0,,
split_0000000150,sexp_00000030,user_000000,13.74,20.0,,
split_0000000151,sexp_00000030,user_000001,13.74,20.0,,
split_0000000152,sexp_00000030,user_000002,13.74,20.0,,
split_0000000153,sexp_00000030,user_000004,13.74,20.0,,
split_0000000154,sexp_00000030,user_000005,13.73,20.0,,
split_0000000155,sexp_00000031,user_000000,8.77,17.4,,
split_0000000156,sexp_00000031,user_000001,14.78,29.3,,
split_0000000157,sexp_00000031,user_000002,7.04,13.95,,
split_0000000158,sexp_00000031,user_000004,17.95,35.61,,
split_0000000159,sexp_00000031,user_000005,1.88,3.74,,
split_0000000160,sexp_00000032,user_000000,19.08,20.0,,
split_0000000161,sexp_00000032,user_000001,19.08,20.0,,
split_0000000162,sexp_00000032,user_000002,19.08,20.0,,
split_0000000163,sexp_00000032,user_000004,19.08,20.0,,
split_0000000164,sexp_00000032,user_000005,19.07,20.0,,
split_0000000165,sexp_00000033,user_000000,10.1,20.0,,
split_0000000166,sexp_00000033,user_000001,10.1,20.0,,
split_0000000167,sexp_00000033,user_000002,10.1,20.0,,
split_0000000168,sexp_00000033,user_000004,10.1,20.0,,
split_0000000169,sexp_00000033,user_000005,10.11,20.0,,
split_0000000170,sexp_00000034,user_000000,15.23,20.0,,
split_0000000171,sexp_00000034,user_000001,15.23,20.0,,
split_0000000172,sexp_00000034,user_000002,15.23,20.0,,
split_0000000173,sexp_00000034,user_000004,15.23,20.0,,
split_0000000174,sexp_00000034,user_000005,15.21,20.0,,
split_0000000175,sexp_00000035,user_000000,10.93,20.0,,
split_0000000176,sexp_00000035,user_000001,10.93,20.0,,
split_0000000177,sexp_00000035,user_000002,10.93,20.0,,
split_0000000178,sexp_00000035,user_000004,10.93,20.0,,
split_0000000179,sexp_00000035,user_000005,10.94,20.0,,
split_0000000180,sexp_00000036,user_000000,51.57,20.0,,
split_0000000181,sexp_00000036,user_000001,51.57,20.0,,
split_0000000182,sexp_00000036,user_000002,51.57,20.0,,
split_0000000183,sexp_00000036,user_000004,51.57,20.0,,
split_0000000184,sexp_00000036,user_000005,51.55,20.0,,
split_0000000185,sexp_00000037,user_000000,34.5,20.0,,
split_0000000186,sexp_00000037,user_000001,34.5,20.0,,
split_0000000187,sexp_00000037,user_000002,34.5,20.0,,
split_0000000188,sexp_00000037,user_000004,34.5,20.0,,
split_0000000189,sexp_00000037,user_000005,34.52,20.0,,
split_0000000190,sexp_00000038,user_000000,12.13,20.0,,
split_0000000191,sexp_00000038,user_000001,12.13,20.0,,
split_0000000192,sexp_00000038,user_000002,12.13,20.0,,
split_0000000193,sexp_00000038,user_000004,12.13,20.0,,
split_0000000194,sexp_00000038,user_000005,12.12,20.0,,
split_0000000195,sexp_00000039,user_000000,38.59,20.0,,
split_0000000196,sexp_00000039,user_000001,38.59,20.0,,
split_0000000197,sexp_00000039,user_000002,38.59,20.0,,
split_0000000198,sexp_00000039,user_000004,38.59,20.0,,
split_0000000199,sexp_00000039,user_000005,38.57,20.0,,
split_0000000200,sexp_00000040,user_000000,23.8,20.3,,
split_0000000201,sexp_00000040,user_000001,13.55,11.56,,
split_0000000202,sexp_00000040,user_000002,23.92,20.41,,
split_0000000203,sexp_00000040,user_000004,12.26,10.46,,
split_0000000204,sexp_00000040,user_000005,43.67,37.26,,
split_0000000205,sexp_00000041,user_000000,13.72,15.51,,
split_0000000206,sexp_00000041,user_000001,23.69,26.78,,
split_0000000207,sexp_00000041,user_000002,27.02,30.54,,
split_0000000208,sexp_00000041,user_000004,21.09,23.84,,
split_0000000209,sexp_00000041,user_000005,2.94,3.33,,
split_0000000210,sexp_00000042,user_000000,62.55,20.0,,
split_0000000211,sexp_00000042,user_000001,62.55,20.0,,
split_0000000212,sexp_00000042,user_000002,62.55,20.0,,
split_0000000213,sexp_00000042,user_000004,62.55,20.0,,
split_0000000214,sexp_00000042,user_000005,62.56,20.0,,
split_0000000215,sexp_00000043,user_000000,52.61,20.0,,
split_0000000216,sexp_00000043,user_000001,52.61,20.0,,
split_0000000217,sexp_00000043,user_000002,52.61,20.0,,
split_0000000218,sexp_00000043,user_000004,52.61,20.0,,
split_0000000219,sexp_00000043,user_000005,52.59,20.0,,
split_0000000220,sexp_00000044,user_000000,13.41,30.14,,
split_0000000221,sexp_00000044,user_000001,9.8,22.03,,
split_0000000222,sexp_00000044,user_000002,10.49,23.58,,
split_0000000223,sexp_00000044,user_000004,9.44,21.23,,
split_0000000224,sexp_00000044,user_000005,1.34,3.02,,
split_0000000225,sexp_00000045,user_000000,33.51,20.0,,
split_0000000226,sexp_00000045,user_000001,33.51,20.0,,
split_0000000227,sexp_00000045,user_000002,33.51,20.0,,
split_0000000228,sexp_00000045,user_000004,33.51,20.0,,
split_0000000229,sexp_00000045,user_000005,33.51,20.0,,
split_0000000230,sexp_00000046,user_000000,19.54,20.0,,
split_0000000231,sexp_00000046,user_000001,19.54,20.0,,
split_0000000232,sexp_00000046,user_000002,19.54,20.0,,
split_0000000233,sexp_00000046,user_000004,19.54,20.0,,
split_0000000234,sexp_00000046,user_000005,19.52,20.0,,
split_0000000235,sexp_00000047,user_000000,9.26,22.07,,
split_0000000236,sexp_00000047,user_000001,9.93,23.65,,
split_0000000237,sexp_00000047,user_000002,11.31,26.95,,
split_0000000238,sexp_00000047,user_000004,10.06,23.96,,
split_0000000239,sexp_00000047,user_000005,1.41,3.36,,
split_0000000240,sexp_00000048,user_000000,8.89,9.8,,
split_0000000241,sexp_00000048,user_000001,37.66,41.49,,
split_0000000242,sexp_00000048,user_000002,16.64,18.34,,
split_0000000243,sexp_00000048,user_000004,23.27,25.63,,
split_0000000244,sexp_00000048,user_000005,4.31,4.75,,
split_0000000245,sexp_00000049,user_000000,24.52,20.0,,
split_0000000246,sexp_00000049,user_000001,24.52,20.0,,
split_0000000247,sexp_00000049,user_000002,24.52,20.0,,
split_0000000248,sexp_00000049,user_000004,24.52,20.0,,
split_0000000249,sexp_00000049,user_000005,24.52,20.0,,
split_0000000250,sexp_00000050,user_000000,59.57,35.13,,
split_0000000251,sexp_00000050,user_000001,20.85,12.29,,
split_0000000252,sexp_00000050,user_000002,34.24,20.19,,
split_0000000253,sexp_00000050,user_000004,29.95,17.66,,
split_0000000254,sexp_00000050,user_000005,24.96,14.72,,
split_0000000255,sexp_00000051,user_000000,58.85,20.0,,
split_0000000256,sexp_00000051,user_000001,58.85,20.0,,
split_0000000257,sexp_00000051,user_000002,58.85,20.0,,
split_0000000258,sexp_00000051,user_000004,58.85,20.0,,
split_0000000259,sexp_00000051,user_000005,58.83,20.0,,
split_0000000260,sexp_00000052,user_000000,13.87,20.0,,
split_0000000261,sexp_00000052,user_000001,13.87,20.0,,
split_0000000262,sexp_00000052,user_000002,13.87,20.0,,
split_0000000263,sexp_00000052,user_000004,13.87,20.0,,
split_0000000264,sexp_00000052,user_000005,13.89,20.0,,
split_0000000265,sexp_00000053,user_000000,47.41,39.22,,
split_0000000266,sexp_00000053,user_000001,13.2,10.92,,
split_0000000267,sexp_00000053,user_000002,15.62,12.92,,
split_0000000268,sexp_00000053,user_000004,39.8,32.93,,
split_0000000269,sexp_00000053,user_000005,4.84,4.0,,
split_0000000270,sexp_00000054,user_000000,20.95,20.0,,
split_0000000271,sexp_00000054,user_000001,20.95,20.0,,
split_0000000272,sexp_00000054,user_000002,20.95,20.0,,
split_0000000273,sexp_00000054,user_000004,20.95,20.0,,
split_0000000274,sexp_00000054,user_000005,20.95,20.0,,
split_0000000275,sexp_00000055,user_000000,9.11,20.0,,
split_0000000276,sexp_00000055,user_000001,9.11,20.0,,
split_0000000277,sexp_00000055,user_000002,9.11,20.0,,
split_0000000278,sexp_00000055,user_000004,9.11,20.0,,
split_0000000279,sexp_00000055,user_000005,9.1,20.0,,
split_0000000280,sexp_00000056,user_000000,29.17,20.0,,
split_0000000281,sexp_00000056,user_000001,29.17,20.0,,
split_0000000282,sexp_00000056,user_000002,29.17,20.0,,
split_0000000283,sexp_00000056,user_000004,29.17,20.0,,
split_0000000284,sexp_00000056,user_000005,29.18,20.0,,
split_0000000285,sexp_00000057,user_000000,79.48,39.41,,
split_0000000286,sexp_00000057,user_000001,29.04,14.4,,
split_0000000287,sexp_00000057,user_000002,21.59,10.71,,
split_0000000288,sexp_00000057,user_000004,63.01,31.25,,
split_0000000289,sexp_00000057,user_000005,8.53,4.23,,
split_0000000290,sexp_00000058,user_000000,18.96,29.35,,
split_0000000291,sexp_00000058,user_000001,14.86,23.01,,
split_0000000292,sexp_00000058,user_000002,17.35,26.86,,
split_0000000293,sexp_00000058,user_000004,11.02,17.07,,
split_0000000294,sexp_00000058,user_000005,2.39,3.71,,
split_0000000295,sexp_00000059,user_000000,12.68,20.0,,
split_0000000296,sexp_00000059,user_000001,12.68,20.0,,
split_0000000297,sexp_00000059,user_000002,12.68,20.0,,
split_0000000298,sexp_00000059,user_000004,12.68,20.0,,
split_0000000299,sexp_00000059,user_000005,12.69,20.0,,
split_0000000300,sexp_00000060,user_000000,34.46,20.0,,
split_0000000301,sexp_00000060,user_000001,34.46,20.0,,
split_0000000302,sexp_00000060,user_000002,34.46,20.0,,
split_0000000303,sexp_00000060,user_000004,34.46,20.0,,
split_0000000304,sexp_00000060,user_000005,34.47,20.0,,
split_0000000305,sexp_00000061,user_000000,27.67,20.0,,
split_0000000306,sexp_00000061,user_000001,27.67,20.0,,
split_0000000307,sexp_00000061,user_000002,27.67,20.0,,
split_0000000308,sexp_00000061,user_000004,27.67,20.0,,
split_0000000309,sexp_00000061,user_000005,27.67,20.0,,
split_0000000310,sexp_00000062,user_000000,15.41,31.45,,
split_0000000311,sexp_00000062,user_000001,9.85,20.1,,
split_0000000312,sexp_00000062,user_000002,14.38,29.34,,
split_0000000313,sexp_00000062,user_000004,7.61,15.52,,
split_0000000314,sexp_00000062,user_000005,1.74,3.58,,
split_0000000315,sexp_00000063,user_000000,8.14,20.0,,
split_0000000316,sexp_00000063,user_000001,8.14,20.0,,
split_0000000317,sexp_00000063,user_000002,8.14,20.0,,
split_0000000318,sexp_00000063,user_000004,8.14,20.0,,
split_0000000319,sexp_00000063,user_000005,8.12,20.0,,
split_0000000320,sexp_00000064,user_000000,11.71,20.11,,
split_0000000321,sexp_00000064,user_000001,12.49,21.45,,
split_0000000322,sexp_00000064,user_000002,18.38,31.56,,
split_0000000323,sexp_00000064,user_000004,13.73,23.58,,
split_0000000324,sexp_00000064,user_000005,1.93,3.3,,
split_0000000325,sexp_00000065,user_000000,27.87,20.0,,
split_0000000326,sexp_00000065,user_000001,27.87,20.0,,
split_0000000327,sexp_00000065,user_000002,27.87,20.0,,
split_0000000328,sexp_00000065,user_000004,27.87,20.0,,
split_0000000329,sexp_00000065,user_000005,27.87,20.0,,
split_0000000330,sexp_00000066,user_000000,30.19,20.0,,
split_0000000331,sexp_00000066,user_000001,30.19,20.0,,
split_0000000332,sexp_00000066,user_000002,30.19,20.0,,
split_0000000333,sexp_00000066,user_000004,30.19,20.0,,
split_0000000334,sexp_00000066,user_000005,30.18,20.0,,
split_0000000335,sexp_00000067,user_000000,62.47,23.1,,
split_0000000336,sexp_00000067,user_000001,56.38,20.85,,
split_0000000337,sexp_00000067,user_000002,74.14,27.42,,
split_0000000338,sexp_00000067,user_000004,65.29,24.14,,
split_0000000339,sexp_00000067,user_000005,12.15,4.49,,
split_0000000340,sexp_00000068,user_000000,18.69,20.0,,
split_0000000341,sexp_00000068,user_000001,18.69,20.0,,
split_0000000342,sexp_00000068,user_000002,18.69,20.0,,
split_0000000343,sexp_00000068,user_000004,18.69,20.0,,
split_0000000344,sexp_00000068,user_000005,18.68,20.0,,
split_0000000345,sexp_00000069,user_000000,27.48,20.0,,
split_0000000346,sexp_00000069,user_000001,27.48,20.0,,
split_0000000347,sexp_00000069,user_000002,27.48,20.0,,
split_0000000348,sexp_00000069,user_000004,27.48,20.0,,
split_0000000349,sexp_00000069,user_000005,27.46,20.0,,
split_0000000350,sexp_00000070,user_000000,36.77,20.0,,
split_0000000351,sexp_00000070,user_000001,36.77,20.0,,
split_0000000352,sexp_00000070,user_000002,36.77,20.0,,
split_0000000353,sexp_00000070,user_000004,36.77,20.0,,
split_0000000354,sexp_00000070,user_000005,36.79,20.0,,
split_0000000355,sexp_00000071,user_000000,228.28,20.0,,
split_0000000356,sexp_00000071,user_000001,228.28,20.0,,
split_0000000357,sexp_00000071,user_000002,228.28,20.0,,
split_0000000358,sexp_00000071,user_000004,228.28,20.0,,
split_0000000359,sexp_00000071,user_000005,228.27,20.0,,
split_0000000360,sexp_00000072,user_000000,22.99,20.0,,
split_0000000361,sexp_00000072,user_000001,22.99,20.0,,
split_0000000362,sexp_00000072,user_000002,22.99,20.0,,
split_0000000363,sexp_00000072,user_000004,22.99,20.0,,
split_0000000364,sexp_00000072,user_000005,22.98,20.0,,
split_0000000365,sexp_00000073,user_000000,77.0,20.0,,
split_0000000366,sexp_00000073,user_000001,77.0,20.0,,
split_0000000367,sexp_00000073,user_000002,77.0,20.0,,
split_0000000368,sexp_00000073,user_000004,77.0,20.0,,
split_0000000369,sexp_00000073,user_000005,76.99,20.0,,
split_0000000370,sexp_00000074,user_000000,47.94,21.97,,
split_0000000371,sexp_00000074,user_000001,57.8,26.48,,
split_0000000372,sexp_00000074,user_000002,49.65,22.75,,
split_0000000373,sexp_00000074,user_000004,53.46,24.5,,
split_0000000374,sexp_00000074,user_000005,9.38,4.3,,
split_0000000375,sexp_00000075,user_000000,29.86,22.1,,
split_0000000376,sexp_00000075,user_000001,37.84,28.0,,
split_0000000377,sexp_00000075,user_000002,41.13,30.44,,
split_0000000378,sexp_00000075,user_000004,21.99,16.27,,
split_0000000379,sexp_00000075,user_000005,4.32,3.19,,
split_0000000380,sexp_00000076,user_000000,41.44,20.0,,
split_0000000381,sexp_00000076,user_000001,41.44,20.0,,
split_0000000382,sexp_00000076,user_000002,41.44,20.0,,
split_0000000383,sexp_00000076,user_000004,41.44,20.0,,
split_0000000384,sexp_00000076,user_000005,41.43,20.0,,
split_0000000385,sexp_00000077,user_000000,18.7,20.0,,
split_0000000386,sexp_00000077,user_000001,18.7,20.0,,
split_0000000387,sexp_00000077,user_000002,18.7,20.0,,
split_0000000388,sexp_00000077,user_000004,18.7,20.0,,
split_0000000389,sexp_00000077,user_000005,18.7,20.0,,
split_0000000390,sexp_00000078,user_000000,51.6,22.19,,
split_0000000391,sexp_00000078,user_000001,74.15,31.88,,
split_0000000392,sexp_00000078,user_000002,60.43,25.98,,
split_0000000393,sexp_00000078,user_000004,36.31,15.61,,
split_0000000394,sexp_00000078,user_000005,10.1,4.34,,
split_0000000395,sexp_00000079,user_000000,27.84,20.94,,
split_0000000396,sexp_00000079,user_000001,36.15,27.19,,
split_0000000397,sexp_00000079,user_000002,25.79,19.4,,
split_0000000398,sexp_00000079,user_000004,38.93,29.28,,
split_0000000399,sexp_00000079,user_000005,4.24,3.19,,
split_0000000400,sexp_00000080,user_000000,20.91,29.36,,
split_0000000401,sexp_00000080,user_000001,7.43,10.43,,
split_0000000402,sexp_00000080,user_000002,14.96,21.01,,
split_0000000403,sexp_00000080,user_000004,25.25,35.46,,
split_0000000404,sexp_00000080,user_000005,2.67,3.74,,
split_0000000405,sexp_00000081,user_000000,28.43,20.0,,
split_0000000406,sexp_00000081,user_000001,28.43,20.0,,
split_0000000407,sexp_00000081,user_000002,28.43,20.0,,
split_0000000408,sexp_00000081,user_000004,28.43,20.0,,
split_0000000409,sexp_00000081,user_000005,28.43,20.0,,
split_0000000410,sexp_00000082,user_000003,766.4,33.33,,
split_0000000411,sexp_00000082,user_000007,766.4,33.33,,
split_0000000412,sexp_00000082,user_000008,766.41,33.33,,
split_0000000413,sexp_00000083,user_000003,614.08,33.33,,
split_0000000414,sexp_00000083,user_000007,614.08,33.33,,
split_0000000415,sexp_00000083,user_000008,614.08,33.33,,
split_0000000416,sexp_00000084,user_000003,382.54,33.33,,
split_0000000417,sexp_00000084,user_000007,382.54,33.33,,
split_0000000418,sexp_00000084,user_000008,382.55,33.33,,
split_0000000419,sexp_00000085,user_000003,1838.04,42.87,,
split_0000000420,sexp_00000085,user_000007,763.39,17.8,,
split_0000000421,sexp_00000085,user_000008,1686.11,39.33,,
split_0000000422,sexp_00000086,user_000003,403.74,33.33,,
split_0000000423,sexp_00000086,user_000007,403.74,33.33,,
split_0000000424,sexp_00000086,user_000008,403.73,33.33,,
split_0000000425,sexp_00000087,user_000003,1374.44,33.33,,
split_0000000426,sexp_00000087,user_000007,1374.44,33.33,,
split_0000000427,sexp_00000087,user_000008,1374.43,33.33,,
split_0000000428,sexp_00000088,user_000003,600.44,22.77,,
split_0000000429,sexp_00000088,user_000007,1080.56,40.98,,
split_0000000430,sexp_00000088,user_000008,955.54,36.24,,
split_0000000431,sexp_00000089,user_000003,663.58,33.33,,
split_0000000432,sexp_00000089,user_000007,663.58,33.33,,
split_0000000433,sexp_00000089,user_000008,663.59,33.33,,
split_0000000434,sexp_00000090,user_000003,916.23,33.33,,
split_0000000435,sexp_00000090,user_000007,916.23,33.33,,
split_0000000436,sexp_00000090,user_000008,916.23,33.33,,
split_0000000437,sexp_00000091,user_000003,294.12,33.33,,
split_0000000438,sexp_00000091,user_000007,294.12,33.33,,
split_0000000439,sexp_00000091,user_000008,294.12,33.33,,
split_0000000440,sexp_00000092,user_000003,831.29,33.33,,
split_0000000441,sexp_00000092,user_000007,831.29,33.33,,
split_0000000442,sexp_00000092,user_000008,831.3,33.33,,
split_0000000443,sexp_00000093,user_000003,906.62,31.89,,
split_0000000444,sexp_00000093,user_000007,698.38,24.56,,
split_0000000445,sexp_00000093,user_000008,1238.31,43.55,,
split_0000000446,sexp_00000094,user_000003,86.31,33.33,,
split_0000000447,sexp_00000094,user_000007,86.31,33.33,,
split_0000000448,sexp_00000094,user_000008,86.32,33.33,,
split_0000000449,sexp_00000095,user_000003,67.05,29.21,,
split_0000000450,sexp_00000095,user_000007,71.25,31.04,,
split_0000000451,sexp_00000095,user_000008,91.21,39.74,,
split_0000000452,sexp_00000096,user_000003,53.69,37.62,,
split_0000000453,sexp_00000096,user_000007,67.9,47.58,,
split_0000000454,sexp_00000096,user_000008,21.12,14.8,,
split_0000000455,sexp_00000097,user_000003,167.01,15.35,,
split_0000000456,sexp_00000097,user_000007,462.4,42.5,,
split_0000000457,sexp_00000097,user_000008,458.55,42.15,,
split_0000000458,sexp_00000098,user_000003,32.03,33.33,,
split_0000000459,sexp_00000098,user_000007,32.03,33.33,,
split_0000000460,sexp_00000098,user_000008,32.03,33.33,,
split_0000000461,sexp_00000099,user_000003,58.36,33.33,,
split_0000000462,sexp_00000099,user_000007,58.36,33.33,,
split_0000000463,sexp_00000099,user_000008,58.37,33.33,,
