id,title,description,amount,category,created_at,updated_at,deleted_at,is_anomaly,roomspace_id,paid_by,split_type
sexp_00000078,Groceries,Weekly groceries,232.59,Groceries,2023-12-15 17:44:14.467757,2023-12-15 17:44:14.467757,,False,roomspace_0,user_000001,PERCENTAGE
sexp_00000079,Groceries,Costco shopping,132.96,Groceries,2023-12-25 10:21:20.301770,2023-12-25 10:21:20.301770,,False,roomspace_0,user_000002,EXACT
sexp_00000080,Household Items,Cleaning supplies,71.22,Household Items,2023-01-01 00:00:00.000000,2023-01-01 00:00:00.000000,,False,roomspace_0,user_000001,PERCENTAGE
sexp_00000081,Household Items,Paper towels,142.15,Household Items,2023-10-15 16:09:36.298010,2023-10-15 16:09:36.298010,,False,roomspace_0,user_000001,EQUAL
sexp_00000082,Rent,Apartment rent,2299.21,Rent,2023-01-01 00:00:00.000000,2023-01-01 00:00:00.000000,,False,roomspace_1,user_000003,EQUAL
sexp_00000083,Rent,Monthly rent,1842.24,Rent,2023-02-04 06:10:13.128864,2023-02-04 06:10:13.128864,,False,roomspace_1,user_000008,EQUAL
sexp_00000084,Rent,Rent payment,1147.63,Rent,2023-03-08 06:28:47.171652,2023-03-08 06:28:47.171652,,False,roomspace_1,user_000003,EQUAL
sexp_00000085,Rent,Apartment rent,4287.54,Rent,2023-04-10 12:21:41.201246,2023-04-10 12:21:41.201246,,False,roomspace_1,user_000007,PERCENTAGE
sexp_00000086,Rent,Rent payment,1211.21,Rent,2023-05-06 15:23:10.812703,2023-05-06 15:23:10.812703,,False,roomspace_1,user_000003,EQUAL
sexp_00000087,Rent,Rent payment,4123.31,Rent,2023-06-02 04:53:37.926575,2023-06-02 04:53:37.926575,,False,roomspace_1,user_000007,EQUAL
sexp_00000088,Rent,Rent payment,2636.54,Rent,2023-06-28 01:58:17.290011,2023-06-28 01:58:17.290011,,False,roomspace_1,user_000008,PERCENTAGE
sexp_00000089,Rent,Apartment rent,1990.75,Rent,2023-07-22 16:21:12.507791,2023-07-22 16:21:12.507791,,False,roomspace_1,user_000008,EQUAL
sexp_00000090,Rent,Monthly rent,2748.69,Rent,2023-08-27 22:23:02.659551,2023-08-27 22:23:02.659551,,False,roomspace_1,user_000007,EQUAL
sexp_00000091,Rent,Apartment rent,882.36,Rent,2023-09-28 16:53:41.713552,2023-09-28 16:53:41.713552,,False,roomspace_1,user_000008,EQUAL
sexp_00000092,Rent,Rent payment,2493.88,Rent,2023-10-30 08:06:03.612944,2023-10-30 08:06:03.612944,,False,roomspace_1,user_000007,EQUAL
sexp_00000093,Rent,Monthly rent,2843.31,Rent,2023-12-01 01:16:33.784613,2023-12-01 01:16:33.784613,,False,roomspace_1,user_000008,PERCENTAGE
sexp_00000094,Utilities,Electricity bill,258.94,Utilities,2023-01-01 00:00:00.000000,2023-01-01 00:00:00.000000,,False,roomspace_1,user_000008,EQUAL
sexp_00000095,Utilities,Electricity bill,229.51,Utilities,2023-02-14 20:36:40.362645,2023-02-14 20:36:40.362645,,False,roomspace_1,user_000008,PERCENTAGE
sexp_00000096,Utilities,Utility payment,142.71,Utilities,2023-03-25 23:04:14.937317,2023-03-25 23:04:14.937317,,False,roomspace_1,user_000008,EXACT
sexp_00000097,Utilities,[UNUSUAL] Utility payment,1087.96,Utilities,2023-05-11 08:11:12.259346,2023-05-11 08:11:12.259346,,True,roomspace_1,user_000008,PERCENTAGE
sexp_00000098,Utilities,Electricity bill,96.09,Utilities,2023-07-02 06:17:06.965532,2023-07-02 06:17:06.965532,,False,roomspace_1,user_000003,EQUAL
sexp_00000099,Utilities,Water bill,175.09,Utilities,2023-08-16 22:35:34.754864,2023-08-16 22:35:34.754864,,False,roomspace_1,user_000007,EQUAL
sexp_00000100,Utilities,Utility payment,123.03,Utilities,2023-09-28 20:52:58.382197,2023-09-28 20:52:58.382197,,False,roomspace_1,user_000007,EQUAL
sexp_00000101,Utilities,Utility payment,185.48,Utilities,2023-11-09 13:12:19.148658,2023-11-09 13:12:19.148658,,False,roomspace_1,user_000007,EQUAL
sexp_00000102,Utilities,Gas bill,168.08,Utilities,2023-12-15 20:59:35.415981,2023-12-15 20:59:35.415981,,False,roomspace_1,user_000008,EQUAL
sexp_00000103,Internet,Broadband,82.58,Internet,2023-01-01 00:00:00.000000,2023-01-01 00:00:00.000000,,False,roomspace_1,user_000008,EQUAL
sexp_00000104,Internet,WiFi payment,58.75,Internet,2023-01-23 21:38:15.065163,2023-01-23 21:38:15.065163,,False,roomspace_1,user_000008,PERCENTAGE
sexp_00000105,Internet,Internet bill,88.44,Internet,2023-02-16 21:55:22.853635,2023-02-16 21:55:22.853635,,False,roomspace_1,user_000003,EQUAL
sexp_00000106,Internet,WiFi payment,90.0,Internet,2023-03-18 13:41:02.496174,2023-03-18 13:41:02.496174,,False,roomspace_1,user_000008,EQUAL
sexp_00000107,Internet,Broadband,43.8,Internet,2023-04-10 08:02:57.873429,2023-04-10 08:02:57.873429,,False,roomspace_1,user_000008,EQUAL
sexp_00000108,Internet,Broadband,84.85,Internet,2023-05-12 05:36:36.280613,2023-05-12 05:36:36.280613,,False,roomspace_1,user_000008,EQUAL
sexp_00000109,Internet,Broadband,84.0,Internet,2023-06-11 01:03:05.366174,2023-06-11 01:03:05.366174,,False,roomspace_1,user_000007,EQUAL
sexp_00000110,Internet,WiFi payment,71.38,Internet,2023-07-12 18:22:10.953125,2023-07-12 18:22:10.953125,,False,roomspace_1,user_000008,EQUAL
sexp_00000111,Internet,[UNUSUAL] Internet bill,323.72,Internet,2023-08-07 10:56:36.732966,2023-08-07 10:56:36.732966,,True,roomspace_1,user_000008,EQUAL
sexp_00000112,Internet,[UNUSUAL] WiFi payment,649.34,Internet,2023-09-09 02:21:29.460528,2023-09-09 02:21:29.460528,,True,roomspace_1,user_000003,EQUAL
sexp_00000113,Internet,Internet bill,50.93,Internet,2023-10-02 00:01:33.230569,2023-10-02 00:01:33.230569,,False,roomspace_1,user_000008,EQUAL
sexp_00000114,Internet,WiFi payment,124.05,Internet,2023-10-29 00:23:32.444116,2023-10-29 00:23:32.444116,,False,roomspace_1,user_000007,EQUAL
sexp_00000115,Internet,Internet bill,100.85,Internet,2023-11-22 08:43:24.515988,2023-11-22 08:43:24.515988,,False,roomspace_1,user_000008,EQUAL
sexp_00000116,Internet,Internet bill,68.57,Internet,2023-12-22 05:31:52.966001,2023-12-22 05:31:52.966001,,False,roomspace_1,user_000008,EQUAL
sexp_00000117,Groceries,Whole Foods,220.79,Groceries,2023-01-01 00:00:00.000000,2023-01-01 00:00:00.000000,,False,roomspace_1,user_000007,PERCENTAGE
sexp_00000118,Groceries,Walmart groceries,86.55,Groceries,2023-01-10 15:10:15.167926,2023-01-10 15:10:15.167926,,False,roomspace_1,user_000008,EXACT
sexp_00000119,Groceries,Walmart groceries,163.72,Groceries,2023-01-19 01:57:29.846655,2023-01-19 01:57:29.846655,,False,roomspace_1,user_000008,PERCENTAGE
sexp_00000120,Groceries,Walmart groceries,59.73,Groceries,2023-01-26 20:36:38.145648,2023-01-26 20:36:38.145648,,False,roomspace_1,user_000008,EQUAL
sexp_00000121,Groceries,Walmart groceries,123.34,Groceries,2023-02-05 03:08:35.425792,2023-02-05 03:08:35.425792,,False,roomspace_1,user_000003,EQUAL
sexp_00000122,Groceries,Weekly groceries,92.47,Groceries,2023-02-13 04:05:51.608273,2023-02-13 04:05:51.608273,,False,roomspace_1,user_000007,EQUAL
sexp_00000123,Groceries,Target groceries,94.79,Groceries,2023-02-22 07:19:14.412628,2023-02-22 07:19:14.412628,,False,roomspace_1,user_000003,EQUAL
sexp_00000124,Groceries,Local supermarket,64.57,Groceries,2023-03-03 17:56:20.972656,2023-03-03 17:56:20.972656,,False,roomspace_1,user_000003,EQUAL
sexp_00000125,Groceries,Costco shopping,91.38,Groceries,2023-03-11 09:43:57.317725,2023-03-11 09:43:57.317725,,False,roomspace_1,user_000008,PERCENTAGE
sexp_00000126,Groceries,Local supermarket,64.41,Groceries,2023-03-20 11:32:49.670900,2023-03-20 11:32:49.670900,,False,roomspace_1,user_000008,EQUAL
sexp_00000127,Groceries,Weekly groceries,68.29,Groceries,2023-03-28 04:37:55.937329,2023-03-28 04:37:55.937329,,False,roomspace_1,user_000003,EQUAL
sexp_00000128,Groceries,Local supermarket,92.02,Groceries,2023-04-05 15:19:59.241131,2023-04-05 15:19:59.241131,,False,roomspace_1,user_000003,EQUAL
sexp_00000129,Groceries,Whole Foods,165.72,Groceries,2023-04-12 23:50:46.149458,2023-04-12 23:50:46.149458,,False,roomspace_1,user_000008,EQUAL
sexp_00000130,Groceries,Target groceries,128.05,Groceries,2023-04-21 22:30:20.417947,2023-04-21 22:30:20.417947,,False,roomspace_1,user_000008,EQUAL
sexp_00000131,Groceries,Weekly groceries,117.04,Groceries,2023-05-01 06:16:51.282450,2023-05-01 06:16:51.282450,,False,roomspace_1,user_000008,PERCENTAGE
sexp_00000132,Groceries,Local supermarket,106.06,Groceries,2023-05-10 21:07:47.111334,2023-05-10 21:07:47.111334,,False,roomspace_1,user_000007,EQUAL
sexp_00000133,Groceries,Whole Foods,170.3,Groceries,2023-05-18 17:15:34.886246,2023-05-18 17:15:34.886246,,False,roomspace_1,user_000003,EQUAL
sexp_00000134,Groceries,Costco shopping,99.11,Groceries,2023-05-28 14:37:47.176258,2023-05-28 14:37:47.176258,,False,roomspace_1,user_000007,EQUAL
sexp_00000135,Groceries,Weekly groceries,52.64,Groceries,2023-06-05 04:54:49.565729,2023-06-05 04:54:49.565729,,False,roomspace_1,user_000008,EQUAL
sexp_00000136,Groceries,Target groceries,53.44,Groceries,2023-06-11 23:16:17.472034,2023-06-11 23:16:17.472034,,False,roomspace_1,user_000008,EQUAL
sexp_00000137,Groceries,Target groceries,68.85,Groceries,2023-06-21 21:45:39.960818,2023-06-21 21:45:39.960818,,False,roomspace_1,user_000008,EQUAL
sexp_00000138,Groceries,Target groceries,162.3,Groceries,2023-06-30 15:42:21.510828,2023-06-30 15:42:21.510828,,False,roomspace_1,user_000008,EQUAL
sexp_00000139,Groceries,Walmart groceries,93.76,Groceries,2023-07-10 02:54:28.721144,2023-07-10 02:54:28.721144,,False,roomspace_1,user_000008,PERCENTAGE
sexp_00000140,Groceries,Whole Foods,106.53,Groceries,2023-07-18 16:24:51.254600,2023-07-18 16:24:51.254600,,False,roomspace_1,user_000007,PERCENTAGE
sexp_00000141,Groceries,Local supermarket,90.77,Groceries,2023-07-26 15:25:09.923794,2023-07-26 15:25:09.923794,,False,roomspace_1,user_000003,PERCENTAGE
sexp_00000142,Groceries,Walmart groceries,161.6,Groceries,2023-08-04 06:51:39.162246,2023-08-04 06:51:39.162246,,False,roomspace_1,user_000007,PERCENTAGE
sexp_00000143,Groceries,Walmart groceries,200.64,Groceries,2023-08-13 19:50:11.140016,2023-08-13 19:50:11.140016,,False,roomspace_1,user_000008,EQUAL
sexp_00000144,Groceries,Local supermarket,181.69,Groceries,2023-08-22 23:46:30.986087,2023-08-22 23:46:30.986087,,False,roomspace_1,user_000007,EQUAL
sexp_00000145,Groceries,Weekly groceries,167.6,Groceries,2023-09-01 00:00:55.075412,2023-09-01 00:00:55.075412,,False,roomspace_1,user_000007,EXACT
sexp_00000146,Groceries,Walmart groceries,295.41,Groceries,2023-09-08 17:01:12.592298,2023-09-08 17:01:12.592298,,False,roomspace_1,user_000007,EQUAL
sexp_00000147,Groceries,Whole Foods,85.91,Groceries,2023-09-15 11:24:51.443568,2023-09-15 11:24:51.443568,,False,roomspace_1,user_000008,EXACT
sexp_00000148,Groceries,Whole Foods,51.93,Groceries,2023-09-23 12:21:43.598918,2023-09-23 12:21:43.598918,,False,roomspace_1,user_000003,EQUAL
sexp_00000149,Groceries,Target groceries,95.63,Groceries,2023-10-01 19:57:32.929750,2023-10-01 19:57:32.929750,,False,roomspace_1,user_000003,PERCENTAGE
sexp_00000150,Groceries,Weekly groceries,165.21,Groceries,2023-10-09 06:49:14.126517,2023-10-09 06:49:14.126517,,False,roomspace_1,user_000007,EQUAL
sexp_00000151,Groceries,Target groceries,135.12,Groceries,2023-10-17 10:48:31.693920,2023-10-17 10:48:31.693920,,False,roomspace_1,user_000008,EXACT
sexp_00000152,Groceries,[DUPLICATE?] Weekly groceries,48.66,Groceries,2023-10-27 06:40:09.215507,2023-10-27 06:40:09.215507,,True,roomspace_1,user_000008,EQUAL
sexp_00000153,Groceries,Costco shopping,230.04,Groceries,2023-11-03 15:48:42.917435,2023-11-03 15:48:42.917435,,False,roomspace_1,user_000007,EQUAL
sexp_00000154,Groceries,Target groceries,308.42,Groceries,2023-11-11 07:50:35.215948,2023-11-11 07:50:35.215948,,False,roomspace_1,user_000007,EQUAL
sexp_00000155,Groceries,Whole Foods,193.24,Groceries,2023-11-18 08:40:48.304178,2023-11-18 08:40:48.304178,,False,roomspace_1,user_000007,EQUAL
sexp_00000156,Groceries,Costco shopping,165.13,Groceries,2023-11-27 15:17:20.379575,2023-11-27 15:17:20.379575,,False,roomspace_1,user_000003,EQUAL
sexp_00000157,Groceries,Walmart groceries,98.26,Groceries,2023-12-06 21:19:33.946149,2023-12-06 21:19:33.946149,,False,roomspace_1,user_000008,PERCENTAGE
sexp_00000158,Groceries,Walmart groceries,175.01,Groceries,2023-12-16 14:11:57.086693,2023-12-16 14:11:57.086693,,False,roomspace_1,user_000003,PERCENTAGE
sexp_00000159,Groceries,Local supermarket,134.16,Groceries,2023-12-24 17:32:14.531628,2023-12-24 17:32:14.531628,,False,roomspace_1,user_000007,EQUAL
sexp_00000160,Household Items,Laundry detergent,67.16,Household Items,2023-01-01 00:00:00.000000,2023-01-01 00:00:00.000000,,False,roomspace_1,user_000008,EQUAL
sexp_00000161,Household Items,Paper towels,58.09,Household Items,2023-11-20 22:23:53.486266,2023-11-20 22:23:53.486266,,False,roomspace_1,user_000003,EQUAL
sexp_00000162,Rent,[LATE NIGHT] Apartment rent,3015.61,Rent,2023-01-01 00:00:00.000000,2023-01-01 00:00:00.000000,,True,roomspace_10,user_000052,EQUAL
sexp_00000163,Rent,Monthly rent,1854.6,Rent,2023-02-12 04:27:00.128480,2023-02-12 04:27:00.128480,,False,roomspace_10,user_000021,EQUAL
sexp_00000164,Rent,Monthly rent,818.33,Rent,2023-03-16 16:37:44.287187,2023-03-16 16:37:44.287187,,False,roomspace_10,user_000032,PERCENTAGE
sexp_00000165,Rent,Rent payment,1804.59,Rent,2023-04-16 09:35:24.310568,2023-04-16 09:35:24.310568,,False,roomspace_10,user_000052,EQUAL
sexp_00000166,Rent,Rent payment,1816.97,Rent,2023-05-24 13:55:04.275412,2023-05-24 13:55:04.275412,,False,roomspace_10,user_000031,EXACT
sexp_00000167,Rent,Rent payment,5630.36,Rent,2023-06-30 09:07:27.366429,2023-06-30 09:07:27.366429,,False,roomspace_10,user_000043,EQUAL
sexp_00000168,Rent,Apartment rent,924.22,Rent,2023-08-02 00:31:02.002763,2023-08-02 00:31:02.002763,,False,roomspace_10,user_000042,EQUAL
