user_id,spending_cluster,cluster_name
NPU_00118,4,cluster_4_family_support_daily$9345
NPU_00119,3,cluster_3_family_support_daily$9467
NPU_00120,2,cluster_2_rent_daily$11564
NPU_00121,0,cluster_0_rent_daily$11772
NPU_00122,1,cluster_1_family_support_daily$8446
NPU_00123,2,cluster_2_rent_daily$11564
NPU_00124,1,cluster_1_family_support_daily$8446
NPU_00125,2,cluster_2_rent_daily$11564
NPU_00126,4,cluster_4_family_support_daily$9345
NPU_00127,0,cluster_0_rent_daily$11772
NPU_00128,0,cluster_0_rent_daily$11772
NPU_00129,2,cluster_2_rent_daily$11564
NPU_00130,0,cluster_0_rent_daily$11772
NPU_00131,2,cluster_2_rent_daily$11564
NPU_00132,2,cluster_2_rent_daily$11564
NPU_00133,2,cluster_2_rent_daily$11564
NPU_00134,1,cluster_1_family_support_daily$8446
NPU_00135,0,cluster_0_rent_daily$11772
NPU_00136,2,cluster_2_rent_daily$11564
NPU_00137,2,cluster_2_rent_daily$11564
NPU_00138,2,cluster_2_rent_daily$11564
NPU_00139,4,cluster_4_family_support_daily$9345
NPU_00140,2,cluster_2_rent_daily$11564
NPU_00141,5,cluster_5_family_support_daily$7136
NPU_00142,1,cluster_1_family_support_daily$8446
NPU_00143,2,cluster_2_rent_daily$11564
NPU_00144,1,cluster_1_family_support_daily$8446
NPU_00145,2,cluster_2_rent_daily$11564
NPU_00146,0,cluster_0_rent_daily$11772
NPU_00147,4,cluster_4_family_support_daily$9345
NPU_00148,1,cluster_1_family_support_daily$8446
NPU_00149,2,cluster_2_rent_daily$11564
NPU_00150,2,cluster_2_rent_daily$11564
NPU_00151,0,cluster_0_rent_daily$11772
NPU_00152,0,cluster_0_rent_daily$11772
NPU_00153,5,cluster_5_family_support_daily$7136
NPU_00154,4,cluster_4_family_support_daily$9345
NPU_00155,1,cluster_1_family_support_daily$8446
NPU_00156,4,cluster_4_family_support_daily$9345
NPU_00157,2,cluster_2_rent_daily$11564
NPU_00158,3,cluster_3_family_support_daily$9467
NPU_00159,0,cluster_0_rent_daily$11772
NPU_00160,5,cluster_5_family_support_daily$7136
NPU_00161,4,cluster_4_family_support_daily$9345
NPU_00162,2,cluster_2_rent_daily$11564
NPU_00163,4,cluster_4_family_support_daily$9345
NPU_00164,4,cluster_4_family_support_daily$9345
NPU_00165,2,cluster_2_rent_daily$11564
NPU_00166,4,cluster_4_family_support_daily$9345
NPU_00167,4,cluster_4_family_support_daily$9345
NPU_00168,1,cluster_1_family_support_daily$8446
NPU_00169,2,cluster_2_rent_daily$11564
NPU_00170,2,cluster_2_rent_daily$11564
NPU_00171,3,cluster_3_family_support_daily$9467
NPU_00172,4,cluster_4_family_support_daily$9345
NPU_00173,0,cluster_0_rent_daily$11772
NPU_00174,5,cluster_5_family_support_daily$7136
NPU_00175,2,cluster_2_rent_daily$11564
NPU_00176,2,cluster_2_rent_daily$11564
NPU_00177,2,cluster_2_rent_daily$11564
NPU_00178,2,cluster_2_rent_daily$11564
NPU_00179,1,cluster_1_family_support_daily$8446
NPU_00180,2,cluster_2_rent_daily$11564
NPU_00181,2,cluster_2_rent_daily$11564
NPU_00182,5,cluster_5_family_support_daily$7136
NPU_00183,5,cluster_5_family_support_daily$7136
NPU_00184,4,cluster_4_family_support_daily$9345
NPU_00185,2,cluster_2_rent_daily$11564
NPU_00186,1,cluster_1_family_support_daily$8446
NPU_00187,2,cluster_2_rent_daily$11564
NPU_00188,4,cluster_4_family_support_daily$9345
NPU_00189,2,cluster_2_rent_daily$11564
NPU_00190,0,cluster_0_rent_daily$11772
NPU_00191,3,cluster_3_family_support_daily$9467
NPU_00192,5,cluster_5_family_support_daily$7136
NPU_00193,5,cluster_5_family_support_daily$7136
NPU_00194,5,cluster_5_family_support_daily$7136
NPU_00195,4,cluster_4_family_support_daily$9345
NPU_00196,4,cluster_4_family_support_daily$9345
NPU_00197,0,cluster_0_rent_daily$11772
NPU_00198,3,cluster_3_family_support_daily$9467
NPU_00199,2,cluster_2_rent_daily$11564
NPU_00200,2,cluster_2_rent_daily$11564
NPU_00201,0,cluster_0_rent_daily$11772
NPU_00202,4,cluster_4_family_support_daily$9345
NPU_00203,1,cluster_1_family_support_daily$8446
NPU_00204,4,cluster_4_family_support_daily$9345
NPU_00205,2,cluster_2_rent_daily$11564
NPU_00206,4,cluster_4_family_support_daily$9345
NPU_00207,4,cluster_4_family_support_daily$9345
NPU_00208,2,cluster_2_rent_daily$11564
NPU_00209,5,cluster_5_family_support_daily$7136
NPU_00210,2,cluster_2_rent_daily$11564
NPU_00211,2,cluster_2_rent_daily$11564
NPU_00212,4,cluster_4_family_support_daily$9345
NPU_00213,2,cluster_2_rent_daily$11564
NPU_00214,2,cluster_2_rent_daily$11564
NPU_00215,1,cluster_1_family_support_daily$8446
NPU_00216,1,cluster_1_family_support_daily$8446
NPU_00217,4,cluster_4_family_support_daily$9345
NPU_00218,2,cluster_2_rent_daily$11564
NPU_00219,2,cluster_2_rent_daily$11564
NPU_00220,0,cluster_0_rent_daily$11772
NPU_00221,5,cluster_5_family_support_daily$7136
NPU_00222,2,cluster_2_rent_daily$11564
NPU_00223,2,cluster_2_rent_daily$11564
NPU_00224,2,cluster_2_rent_daily$11564
NPU_00225,0,cluster_0_rent_daily$11772
NPU_00226,2,cluster_2_rent_daily$11564
NPU_00227,3,cluster_3_family_support_daily$9467
NPU_00228,1,cluster_1_family_support_daily$8446
NPU_00229,5,cluster_5_family_support_daily$7136
NPU_00230,2,cluster_2_rent_daily$11564
NPU_00231,0,cluster_0_rent_daily$11772
NPU_00232,4,cluster_4_family_support_daily$9345
NPU_00233,5,cluster_5_family_support_daily$7136
NPU_00234,2,cluster_2_rent_daily$11564
NPU_00235,4,cluster_4_family_support_daily$9345
NPU_00236,3,cluster_3_family_support_daily$9467
NPU_00237,2,cluster_2_rent_daily$11564
NPU_00238,1,cluster_1_family_support_daily$8446
NPU_00239,2,cluster_2_rent_daily$11564
NPU_00240,2,cluster_2_rent_daily$11564
NPU_00241,4,cluster_4_family_support_daily$9345
NPU_00242,0,cluster_0_rent_daily$11772
NPU_00243,2,cluster_2_rent_daily$11564
NPU_00244,4,cluster_4_family_support_daily$9345
NPU_00245,0,cluster_0_rent_daily$11772
NPU_00246,5,cluster_5_family_support_daily$7136
NPU_00247,2,cluster_2_rent_daily$11564
NPU_00248,3,cluster_3_family_support_daily$9467
NPU_00249,2,cluster_2_rent_daily$11564
NPU_00250,4,cluster_4_family_support_daily$9345
NPU_00251,1,cluster_1_family_support_daily$8446
NPU_00252,2,cluster_2_rent_daily$11564
NPU_00253,0,cluster_0_rent_daily$11772
NPU_00254,1,cluster_1_family_support_daily$8446
NPU_00255,4,cluster_4_family_support_daily$9345
NPU_00256,4,cluster_4_family_support_daily$9345
NPU_00257,2,cluster_2_rent_daily$11564
NPU_00258,5,cluster_5_family_support_daily$7136
NPU_00259,0,cluster_0_rent_daily$11772
NPU_00260,4,cluster_4_family_support_daily$9345
NPU_00261,5,cluster_5_family_support_daily$7136
NPU_00262,5,cluster_5_family_support_daily$7136
NPU_00263,0,cluster_0_rent_daily$11772
NPU_00264,4,cluster_4_family_support_daily$9345
NPU_00265,2,cluster_2_rent_daily$11564
NPU_00266,2,cluster_2_rent_daily$11564
NPU_00267,4,cluster_4_family_support_daily$9345
NPU_00268,0,cluster_0_rent_daily$11772
NPU_00269,0,cluster_0_rent_daily$11772
NPU_00270,2,cluster_2_rent_daily$11564
NPU_00271,3,cluster_3_family_support_daily$9467
NPU_00272,1,cluster_1_family_support_daily$8446
NPU_00273,2,cluster_2_rent_daily$11564
NPU_00274,0,cluster_0_rent_daily$11772
NPU_00275,3,cluster_3_family_support_daily$9467
NPU_00276,2,cluster_2_rent_daily$11564
NPU_00277,4,cluster_4_family_support_daily$9345
NPU_00278,4,cluster_4_family_support_daily$9345
NPU_00279,2,cluster_2_rent_daily$11564
NPU_00280,2,cluster_2_rent_daily$11564
NPU_00281,5,cluster_5_family_support_daily$7136
NPU_00282,4,cluster_4_family_support_daily$9345
NPU_00283,0,cluster_0_rent_daily$11772
NPU_00284,1,cluster_1_family_support_daily$8446
NPU_00285,3,cluster_3_family_support_daily$9467
NPU_00286,2,cluster_2_rent_daily$11564
NPU_00287,0,cluster_0_rent_daily$11772
NPU_00288,2,cluster_2_rent_daily$11564
NPU_00289,2,cluster_2_rent_daily$11564
NPU_00290,2,cluster_2_rent_daily$11564
NPU_00291,0,cluster_0_rent_daily$11772
NPU_00292,2,cluster_2_rent_daily$11564
NPU_00293,5,cluster_5_family_support_daily$7136
NPU_00294,2,cluster_2_rent_daily$11564
NPU_00295,4,cluster_4_family_support_daily$9345
NPU_00296,3,cluster_3_family_support_daily$9467
NPU_00297,0,cluster_0_rent_daily$11772
NPU_00298,3,cluster_3_family_support_daily$9467
NPU_00299,5,cluster_5_family_support_daily$7136
NPU_00300,2,cluster_2_rent_daily$11564
